energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_id,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.592,157.969,0.521,pop,-7.777,0.122,0.535,"Lady Gaga, Bruno Mars",3,0.0304,100,Die With A Smile,Today's Top Hits,2plbrEY59IikOBgBGLjaoe,Die With A Smile,2024-08-16,0,10FLjwfpbxLmW8c25Xyc2N,0,6,251668,0.308,2plbrEY59IikOBgBGLjaoe,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.507,104.978,0.747,pop,-10.171,0.117,0.438,Billie Eilish,4,0.0358,97,HIT ME HARD AND SOFT,Today's Top Hits,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,2024-05-17,0.0608,7aJuG4TFXa2hmE4z1yxc3n,1,2,210373,0.2,6dOtVTDdiauQNBQEDOtlAB,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.808,108.548,0.554,pop,-4.169,0.159,0.372,Gracie Abrams,4,0.0368,93,The Secret of Us (Deluxe),Today's Top Hits,7ne4VBA60CxGM75vw0EYad,That’s So True,2024-10-18,0,0hBRqPYPXhr1RkTDG3n4Mk,1,1,166300,0.214,7ne4VBA60CxGM75vw0EYad,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.91,112.966,0.67,pop,-4.07,0.304,0.786,Sabrina Carpenter,4,0.0634,81,Short n' Sweet,Today's Top Hits,1d7Ptw3qYcfpdLNL5REhtJ,Taste,2024-08-23,0,4B4Elma4nNDUyl6D5PvQkj,0,0,157280,0.0939,1d7Ptw3qYcfpdLNL5REhtJ,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.783,149.027,0.777,pop,-4.477,0.355,0.939,"ROSÉ, Bruno Mars",4,0.26,98,APT.,Today's Top Hits,5vNRhkKd0yEAg8suGBpjeY,APT.,2024-10-18,0,2IYQwwgxgOIn7t3iF6ufFD,0,0,169917,0.0283,5vNRhkKd0yEAg8suGBpjeY,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.582,116.712,0.7,pop,-5.96,0.0881,0.785,Chappell Roan,4,0.0356,94,"Good Luck, Babe!",Today's Top Hits,0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",2024-04-05,0,1WAjjRMfZjEXtB0lQrAw6Q,0,11,218424,0.0502,0WbMK4wrZ1wFSty9F7FCgu,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.561,150.069,0.669,pop,-6.538,0.0954,0.841,Addison Rae,4,0.0411,88,Diet Pepsi,Today's Top Hits,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,2024-08-09,0.00962,0XA403JTounqFh2owquBXu,1,10,169698,0.495,6MzofobZt2dm0Kf1hTThFz,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.247,148.101,0.467,pop,-12.002,0.17,0.126,Billie Eilish,4,0.0431,93,HIT ME HARD AND SOFT,Today's Top Hits,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,2024-05-17,0.000271,7aJuG4TFXa2hmE4z1yxc3n,0,6,261467,0.612,3QaPy1KgI7nu9FJEQUgn6h,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.416,94.926,0.492,pop,-10.439,0.203,0.297,Gigi Perez,4,0.0254,71,Sailor Song,Today's Top Hits,0UYnhUfnUj5adChuAXvLUB,Sailor Song,2024-07-26,8.61E-05,4DWrYvfGXRE8ko5ZxlIpit,1,11,211979,0.686,0UYnhUfnUj5adChuAXvLUB,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.722,119.973,0.769,pop,-5.485,0.111,0.57,"The Weeknd, Playboi Carti",4,0.0507,92,Timeless,Today's Top Hits,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),2024-09-27,2.56E-06,2IRxVVqbSbqHJo8Zx50LYn,0,11,256000,0.0584,1Es7AUAhQvapIcoh3qMKDL,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
