time_signature,track_popularity,speechiness,danceability,playlist_name,track_artist,duration_ms,energy,playlist_genre,playlist_subgenre,track_name,mode,type,track_album_release_date,id,instrumentalness,track_album_id,playlist_id,track_id,valence,key,tempo,loudness,acousticness,liveness,track_album_name
4,23,0.0393,0.636,Rock Classics,Creedence Clearwater Revival,138053,0.746,rock,classic,Fortunate Son,1,audio_features,2005-12-14,5e6x5YRnMJIKvYpZxLqdpH,0.29,4A8gFwqd9jTtnsNwUu3OQx,37i9dQZF1DWXRqgorJj26U,5e6x5YRnMJIKvYpZxLqdpH,0.432,0,132.31,-3.785,0.0648,0.173,The Long Road Home - The Ultimate John Fogerty / Creedence Collection
4,53,0.0317,0.572,Rock Classics,Van Halen,241600,0.835,rock,classic,Jump - 2015 Remaster,1,audio_features,2015-03-27,5FqYA8KfiwsQvyBI4IamnY,0.000377,2c965LEDRNrXXCeBOAAwns,37i9dQZF1DWXRqgorJj26U,5FqYA8KfiwsQvyBI4IamnY,0.795,0,129.981,-6.219,0.171,0.0702,The Collection
4,55,0.0454,0.591,Rock Classics,Stevie Nicks,329413,0.804,rock,classic,Edge of Seventeen - 2016 Remaster,1,audio_features,2016-11-04,5LNiqEqpDc8TuqPy79kDBu,5.98E-06,3S404OgKoVQSJ3xXrDVlp8,37i9dQZF1DWXRqgorJj26U,5LNiqEqpDc8TuqPy79kDBu,0.658,0,111.457,-7.299,0.327,0.0818,Bella Donna (Deluxe Edition)
4,64,0.101,0.443,Jazz Classics,"Ella Fitzgerald, Louis Armstrong",185160,0.104,jazz,classic,Dream A Little Dream Of Me - Single Version,1,audio_features,2007-05-03,78MI7mu1LV1k4IA2HzKmHe,0,1y5KGkUKO0NG32MhIIagCA,37i9dQZF1DXbITWG1ZJKYt,78MI7mu1LV1k4IA2HzKmHe,0.394,0,76.474,-17.042,0.913,0.191,"Love, Ella"
4,62,0.0298,0.685,Jazz Classics,Galt MacDermot,205720,0.472,jazz,classic,Coffee Cold,0,audio_features,2000-01-01,6MN6yRVriszuyAVlyF8ndB,0.284,6f4b9wVTkKAf096k4XG6x5,37i9dQZF1DXbITWG1ZJKYt,6MN6yRVriszuyAVlyF8ndB,0.475,9,80.487,-9.691,0.785,0.224,Shapes of Rhythm/Woman Is Sweeter
4,61,0.0566,0.67,Jazz Classics,"Frank Sinatra, Count Basie",147147,0.365,jazz,classic,Fly Me To The Moon,1,audio_features,2015-04-17,2dR5WkrpwylTuT3jRWNufa,0,7gmak9ZGm10y4PtZa9SBQn,37i9dQZF1DXbITWG1ZJKYt,2dR5WkrpwylTuT3jRWNufa,0.45,0,119.347,-10.158,0.525,0.0575,Ultimate Sinatra
4,60,0.0914,0.663,Jazz Classics,"Ella Fitzgerald, Louis Armstrong",354533,0.264,jazz,classic,Cheek To Cheek,1,audio_features,1997-05-20,33jt3kYWjQzqn3xyYQ5ZEh,0,2uqlkJu6vckJahCsp6Hfcn,37i9dQZF1DXbITWG1ZJKYt,33jt3kYWjQzqn3xyYQ5ZEh,0.657,0,122.482,-14.571,0.706,0.1,The Complete Ella And Louis On Verve
4,55,0.0373,0.525,Jazz Classics,Benny Goodman,195533,0.222,jazz,classic,Stompin At The Savoy,0,audio_features,1990-01-01,1xUJ1mdLAysxNBtO9w3J2g,0.0799,33oCBSZiLbfqyOnTTQ4Tct,37i9dQZF1DXbITWG1ZJKYt,1xUJ1mdLAysxNBtO9w3J2g,0.645,10,156.364,-11.065,0.836,0.051,B. G. In Hi Fi
4,54,0.0363,0.336,Jazz Classics,Kenny Dorham,190400,0.0619,jazz,classic,Alone Together - Rudy Van Gelder Remaster 2006,0,audio_features,1992-01-01,3GOZbK2epuHzCt5YvvVFHO,0.891,4B0pF1WLB3pCaZ4eTx5U8S,37i9dQZF1DXbITWG1ZJKYt,3GOZbK2epuHzCt5YvvVFHO,0.197,5,60.705,-20.494,0.985,0.11,Quiet Kenny
4,53,0.0407,0.742,Jazz Classics,Horace Silver,438280,0.671,jazz,classic,Song For My Father,0,audio_features,1999-01-01,1CDBaGlisZlOJzvx88lL8A,0.00441,4LEnATSqKeANOJ0mLUAuCE,37i9dQZF1DXbITWG1ZJKYt,1CDBaGlisZlOJzvx88lL8A,0.591,5,127.359,-8.142,0.794,0.122,Song For My Father
